id,name,company,country,active,first_flight,cost_per_launch,success_rate_pct,height_meters,diameter_meters,mass_kg,stages,boosters,engines_number,engines_type,engines_version,engines_isp_vacuum,engines_thrust_vacuum_kN,first_stage_engines,first_stage_reusable,first_stage_thrust_vacuum_kN,second_stage_engines,second_stage_reusable,second_stage_thrust_kN,leo_kg,wikipedia,image
5e9d0d95eda69955f709d1eb,Falcon 1,SpaceX,Republic of the Marshall Islands,False,2006-03-24,6700000,40,22.25,1.68,30146,2,0,1,merlin,1C,304,480,1,False,480,1,False,31,450,https://en.wikipedia.org/wiki/Falcon_1,https://imgur.com/DaCfMsj.jpg
5e9d0d95eda69973a809d1ec,Falcon 9,SpaceX,United States,True,2010-06-04,50000000,98,70,3.7,549054,2,0,9,merlin,1D+,312,914,9,True,8227,1,False,934,22800,https://en.wikipedia.org/wiki/Falcon_9,https://farm1.staticflickr.com/929/28787338307_3453a11a77_b.jpg
5e9d0d95eda69974db09d1ed,Falcon Heavy,SpaceX,United States,True,2018-02-06,90000000,100,70,12.2,1420788,2,2,27,merlin,1D+,312,914,27,True,24681,1,False,934,63800,https://en.wikipedia.org/wiki/Falcon_Heavy,https://farm5.staticflickr.com/4599/38583829295_581f34dd84_b.jpg
5e9d0d96eda699382d09d1ee,Starship,SpaceX,United States,False,2021-12-01,7000000,0,118,9,1335000,2,0,37,raptor,,380,1960,37,True,138000,6,True,1957,150000,https://en.wikipedia.org/wiki/SpaceX_Starship,https://live.staticflickr.com/65535/48954138962_ee541e6755_b.jpg
